,넘버 제목,배우,앨범,가사,정제
150,잃어버린 지갑의 노래 (feat. 마치),티키틱,잃어버린 지갑의 노래,"지금 이 순간 지금 여기
간절히 바라고 원했던 이 순간
나만의 꿈이 나만의 소원
이뤄질지 몰라 여기 바로 오늘
지금 이 순간 지금 여기
말로는 뭐라 할 수 없는 이 순간
참아온 나날 힘겹던 날
다 사라져간다 연기처럼 멀리
지금 이 순간 마법처럼
날 묶어 왔던 사슬을 벗어 던진다
지금 내겐 확신만 있을 뿐
남은 건 이젠 승리뿐
그 많았던 비난과 고난을
떨치고 일어서 세상으로 부딪혀 맞설 뿐
지금 이 순간 내 모든 걸
내 육신마저 내 영혼마저 다 걸고
던지리라 바치리라
애타게 찾던 절실한 소원을 위해
지금 이 순간 나만의 길
당신이 나를 버리고 저주하여도
내 마음속 깊이 간직한 꿈
간절한 기도 절실한 기도
신이여 허락하소서","['지금', '순간', '지금', '간절히', '바라', '원하', '순간', '소원', '이루', 'ㄹ지', '몰르', '오늘', '지금', '순간', '지금', '순간', '나날', '힘겹', '사라지', 'ㄴ다', '연기', '처럼', '멀리', '지금', '순간', '마법', '처럼', '사슬', '던지', 'ㄴ다', '지금', '확신', '승리', '비난', '고난', '떨치', '일어', '세상', '부딪히', '맞서', '지금', '순간', '모든', '육신', '영혼', '던지', '리라', '바치리', '애타', '절실', '소원', '위하', '지금', '순간', '버리', '저주', '여도', '마음속', '깊이', '간직', '간절', '기도', '절실', '기도', '신이', '허락', '소서']"
151,역사는 돌고 돌아,김다현,뮤지컬 루쓰,"답답한 창살은 뜯어버려
단숨에 작살을 내
짐승은 발톱을 갈아야 해
일격에 숨통을 쳐
이빨로 목덜밀 물어
푸짐한 저녁 식탁
피비린내 나는 축제
난장판 쳐라
그래 난 박살낼 테다 세상의 평화
타락한 너의 영혼을 칭송할 테다
난 악마를 신봉할 테다
저 사탄 편에 설 테다
끊임없이 충돌할 테다
파괴를 할 테다
그 이름하여 에드워드 하이드
악의 힘이 날 충동질해
악췰 풍겨라 부추겨라
악마가 되라 거부하라
악명 떨쳐라 나는 에드워드 하이드","['답답', '창살', '버리', '단숨에', '작살', '짐승', '발톱', '일격', '숨통', '이빨', '푸짐', '저녁', '식탁', '비린내', '축제', '난장판', '그리하', '박살내', '세상', '평화', '타락', '영혼', '칭송', '악마', '신봉', '사탄', '끊임없이', '충돌', '파괴', '이름', '에드워드', '하이드', '충동질', '풍기', '부추기', '악마', '거부', '악명', '떨치', '에드워드', '하이드']"
152,정답은 당신의 마음,권수은,뮤지컬 통가벤온 OST,"끝이 어딘지 알 수 없는 싸움
이 어둠이 그치는 그날이 올까
그 어느것도 보이지 않는 어둠
이 어둠이 그치는 날이 올까
흔들리는 그 날이 와도
우린 서롤 잡아줄거야
눈앞의 일 알 수 없어도
함께 이 길을 걸으면 돼
이 길의 끝에서 만난
밤하늘의 빛
그 빛이 내게로 와
그 빛이 나를 덮어
빛은 내가 되고
나는 빛이 되어
그 안에 이 안에
이 너머에 뭐가 있든
어떤 세상이 기다리든
우리 지금 이 손 놓지 않을거야
이 어둠이 걷힐때까지
이 길의 끝에서 만난
밤하늘의 빛
그 빛이 내게로 와
그 빛이 나를 덮어
빛은 내가 되고
나는 빛이 되어
그 안에 이 안에
눈을 뜨면 볼 수 없어
눈을 감아야 볼 수 있어
자 이제 눈을 감고 느껴
이 길의 끝에서 만난
밤하늘의 빛
그 빛이 내게로 와
그 빛이 나를 덮어
빛은 내가 되고
나는 빛이 되어
그 아래 이 안에
빛은 내가 되고
내가 빛이 되는
여기가 우리의 시작","['ㄴ지', '싸움', '어둠', '그치', '그날', 'ㄹ까', '보이', '어둠', '어둠', '그치', 'ㄹ까', '흔들리', '아도', '눈앞', '어도', '으면', '만나', '밤하늘', '내가', '너머', '세상', '기다리', '지금', '어둠', '걷히', '만나', '밤하늘', '내가', '이제', '느끼', '만나', '밤하늘', '내가', '아래', '내가', '내가', '시작']"
153,사랑은 아름다워,이지훈,뮤지컬 루쓰,"이제 리허설을 끝내
진짜 나의 무대로
막이 내려 끝이 나면
활짝 웃게 될거야
그 동안 우리 모두 잘 해 왔잖아
조금의 실수쯤은 잊어 괜찮아
소심해지지마 어깰 펴 당당히
저 밖에 많은 이들이 널 기다려
몇번을 반복해도
헷갈리고 떨려
내가 가야 할 길이
이 길이 맞는 걸까
누구나 처음이 있는 법
첨부터 잘할 순 없는 걸
움추린 날갤 펴고
세상을 향해 날아봐
이제 리허설을 끝내
진짜 나의 무대로
화려한 조명 아래에서
그 동안 준비한 걸 보여줘
조금 틀려도 돼 어때
너를 보여주면 돼
막이 내려 끝이 나면
활짝 웃게 될거야
꽤 오래 우리 함께 준비 했잖아
서로가 서로를 위로해 줬잖아
준비한 만큼만 딱 보여주면돼
저 밖에 많은 이들이 널 기다려
약속된 시간이 왔어
너는 잘 할 수 있어
보잘 것 없던 내가
주인공이 될 수 있을까
누구나 처음이 있는 법
처음부터 잘할 순 없는 걸
움추린 날갤 펴고
세상을 향해 날아봐
이제 리허설을 끝내
진짜 나의 무대로
화려한 조명 아래에서
그 동안 준비한 걸 보여줘
조금 틀려도 돼 어때
너를 보여주면 돼
막이 내려 끝이 나면
활짝 웃게 될거야
이제 리허설을 끝내
진짜 나의 무대로
화려한 조명 아래에서
그 동안 준비한 걸 보여줘
조금 틀려도 돼 어때
너를 보여주면 돼
막이 내려 끝이 나면
활짝 웃게 될거야","['이제', '리허설', '끝내', '진짜', '나의', '무대', '막이', '내리', '활짝', '잖아', '실수', '괜찮', '소심', '지지', '당당히', '기다리', '반복', '어도', '헷갈리', '떨리', '내가', '가야', '길이', 'ㄹ까', '처음', '잘하', '움추리', '세상', '향하', '날으', '이제', '리허설', '끝내', '진짜', '나의', '무대', '화려', '조명', '아래', '준비', '보여주', '틀리', '어도', '보여주', '막이', '내리', '활짝', '오래', '준비', '잖아', '서로', '서로', '위로', '잖아', '준비', '보여주', '기다리', '약속', '내가', '주인공', '을까', '처음', '처음', '잘하', '움추리', '세상', '향하', '날으', '이제', '리허설', '끝내', '진짜', '나의', '무대', '화려', '조명', '아래', '준비', '보여주', '틀리', '어도', '보여주', '막이', '내리', '활짝', '이제', '리허설', '끝내', '진짜', '나의', '무대', '화려', '조명', '아래', '준비', '보여주', '틀리', '어도', '보여주', '막이', '내리', '활짝']"
154,자유를 향하여,조해일,뮤지컬 '노X: 30년 후의 너에게' - 자유를 향하여,"이렇게 햇살이 예뻐서 들뜬 걸까
뭔가 설명할 순 없지만 그런 기분이야
이렇게 햇살이 예뻐서 들뜬 걸까
햇살이 나만 비춰주는 것 같아
워어우 워어
The sun is in my eyes 날 반짝여줘
The sun is in my eyes 날 물들여줘
햇살 아래서 난 자유로워
The sun is in my eyes 날 반짝여줘
The sun is in my eyes 날 물들여줘
햇살이 나만 비춰주는 것 같아
이렇게 햇살이 예뻐서 그런 걸까
어떤 일이 일어날 것만 같은 기분이야
이렇게 햇살이 예뻐서 그런 걸까
햇살이 나를 이끄는 것 같아
내게 손짓해
어딜 향해 가는지 알 수 없지만
이 햇살이 끝나는 곳까지 나 걸어갈 거야
그곳을 향해서
The sun is in my eyes 날 반짝여줘
The sun is in my eyes 날 물들여줘
햇살 아래서 난 자유로워 워어우 워어
The sun is in my eyes 날 반짝여줘
The sun is in my eyes 날 물들여줘
햇살이 나를 이끄는 것 같아","['이렇', '햇살', '예쁘', '어서', '들뜨', 'ㄹ까', '설명', '그러', '기분', '이야', '이렇', '햇살', '예쁘', '어서', '들뜨', 'ㄹ까', '햇살', '비추', '어우', 'The', 'sun', 'is', 'in', 'my', 'eyes', '반짝이', 'The', 'sun', 'is', 'in', 'my', 'eyes', '물들이', '햇살', '아래', '자유', 'The', 'sun', 'is', 'in', 'my', 'eyes', '반짝이', 'The', 'sun', 'is', 'in', 'my', 'eyes', '물들이', '햇살', '비추', '이렇', '햇살', '예쁘', '어서', '그러', 'ㄹ까', '일어나', '기분', '이야', '이렇', '햇살', '예쁘', '어서', '그러', 'ㄹ까', '햇살', '이끌', '손짓', '는지', '햇살', '끝나', '걸어가', '향하', '어서', 'The', 'sun', 'is', 'in', 'my', 'eyes', '반짝이', 'The', 'sun', 'is', 'in', 'my', 'eyes', '물들이', '햇살', '아래', '자유', '어우', 'The', 'sun', 'is', 'in', 'my', 'eyes', '반짝이', 'The', 'sun', 'is', 'in', 'my', 'eyes', '물들이', '햇살', '이끌']"
155,울새와의 하루,홍나현,뮤지컬 비밀의 화원,"왠지 기분 좋은 날
뭔가 느낌이 오는 날
왠지 모를 요상한
모든 것이 잘 될 것 같은 날 있잖아요
살다 보면 우연히
누구라도 한 번쯤
그런 날이 다가와
나를 기분 좋게 만들어 주네
눈부신 햇살 비춰와
싱그런 바람 불어와
달콤한 커피향
내 맘 설레게 하죠
tell you what
따스한 버스정류장
집으로 돌아가는 길
창밖에 비친 미소마저 아름다워요
I tell you what
눈부신 햇살 비춰와
싱그런 바람 불어와
달콤한 커피향
내 맘 설레게 하죠
tell you what
따스한 버스정류장
집으로 돌아가는 길
창밖에 비친 미소마저 아름다워요
I tell you what","['왠지', '기분', '느낌', '왠지', '모르', '요상', '모든', '잖아요', '우연히', '라도', '그런', '다가오', '나르', '기분', '만들', '눈부시', '햇살', '비추', '싱그럽', '바람', '불어오', '달콤', '커피', '설레', 'tell', 'you', 'what', '따스', '버스', '정류장', '돌아가', '비치', '미소', '아름답', '어요', 'tell', 'you', 'what', '눈부시', '햇살', '비추', '싱그럽', '바람', '불어오', '달콤', '커피', '설레', 'tell', 'you', 'what', '따스', '버스', '정류장', '돌아가', '비치', '미소', '아름답', '어요', 'tell', 'you', 'what']"
156,그저 짧은 이야기,판소리아지트 놀애박스,판소리 쑛스토리 OST,"슈퍼 슈퍼 슈퍼 클로
아무나 만날 수 없는 나야
넌 우주가 내린 행운아야
우주대스타 신비한 마법사
눈부신 히어로
그래 그게 나야
슈퍼클로 슈퍼클로
아무나 볼 수는 없는 거야 슈퍼클로
넌 모두 샘낼 행운아야 슈퍼클로
뭐든 가능한 마법으로 가득한
신비의 클로젯
그래 그게 우리야
슈퍼클로와 슈퍼클로젯
아무나 만날 수 없는 슈퍼클로
네 앞에 나타난 저 슈퍼클로
이건 나의 등장음악
나의 존재 자체가 행운이야
한 번도 상상도 못 해본
그 모든 것이 이뤄질 거야
슈퍼클로와 함께면 뭐든 가능해
슈퍼클로와 함께면 정말 행운이야
우주 대스타 신비한 마법사
눈부신 히어로 그래 그게 나야
우리의 히어로 그래 그게 나야
슈퍼 슈퍼 슈퍼 슈퍼
슈퍼클로와 슈퍼클로젯","['슈퍼', '슈퍼', '슈퍼', '아무', '만나', '우주', '내리', '행운아', '우주', '대스타', '신비', '마법사', '눈부시', '히어로', '그리하', '슈퍼', '슈퍼', '아무', '슈퍼', '샘내', '행운아', '슈퍼', '가능', '마법', '가득', '신비', '그리하', '슈퍼', '슈퍼', '아무', '만나', '슈퍼', '나타나', '슈퍼', '등장', '음악', '나의', '존재', '자체', '행운', '이야', '상상', '해보', '모든', '이루', '슈퍼', '가능', '슈퍼', '정말', '행운', '이야', '우주', '대스타', '신비', '마법사', '눈부시', '히어로', '그리하', '히어로', '그리하', '슈퍼', '슈퍼', '슈퍼', '슈퍼', '슈퍼', '슈퍼']"
158,우리들의 숲,점퍼즈 (JUMPERZ),뮤지컬 미래에서 온 아이,"잠깐 한숨을 돌리면
침묵이 질문해 와
뭘 위해 살고 있느냐고
답은 찾을 수 없어
적당히 과하지 않게
반만 채운 물컵처럼
무언갈 너무 사랑하면
불행해지니까
나 아닌 모두 다 아는 것 같은
행복의 비밀
잠깐 여기를 떠나면
한숨 돌리고 나면
뭘 위해 살고 있었는지
답을 찾을 수 있을까
안녕 잠시만 안녕
인생의 답을 찾아올 여행
안녕 금방 돌아올게
이번 한번 정도는 날 위해
나도 이제 알 것만 같은 행복의 비밀
차라리 이대로 모든 게 끝난다면
내 기억은 이 순간에
영원히 남겨질텐데
나만 이 순간에 그럴 수만 있다면","['한숨', '돌리', '침묵', '질문', '위하', '느냐', '적당히', '과하', '채우', '처럼', '무언', '너무', '사랑', '불행', '니까', '행복', '비밀', '떠나', '한숨', '돌리', '위하', '는지', '을까', '안녕', '안녕', '인생', '찾아오', '여행', '안녕', '금방', '돌아오', 'ㄹ게', '한번', '정도', '이제', '행복', '비밀', '이대로', '모든', '끝나', 'ㄴ다면', '기억', '순간', '영원히', '남기', 'ㄴ데', '순간', '그러', '다면']"
159,"우리가족Opening (Feat. 김률아, 김셔니, 강한별, 장유진, 윤다희, 한준수, 봉경복, 윤세호)",윤다희,앤서니브라운의 우리가족 OST,"따뜻한 모닥불 갓 구운 빵 냄새
뛰노는 아이들 달콤한 코코아
푹신한 침대 졸고 있는 고양이
흔들리는 촛불 창 밖의 별빛
그리운 그곳에 날 데려가주오
이제는 다시 돌아갈 수 있어
돌아갈 그곳이 날 기다려준다면
다시는 그곳을 난 떠나지 않으리
집으로
그곳으로
즐거운 곳에서는 날 오라 하여도
나 쉴 곳은 작은 집 내 집 뿐이리
고요한 밤 달빛도 창 앞에 흐르면
내 푸른 그 꿈길도 다시 살아나
오 사랑 나의 집
즐거운 내 가족들 내 집 뿐이리
내 집 뿐이리","['따뜻', '모닥불', '냄새', '뛰놀', '달콤', '코코아', '신한', '침대', '고양이', '흔들리', '촛불', '별빛', '그립', '그곳', '데리', '가주', '이제', '다시', '돌아가', '돌아가', '그곳', '기다리', 'ㄴ다면', '다시', '떠나', '으리', '즐겁', '오라', '여도', '이리', '고요', '달빛', '흐르', '푸른', '꿈길', '다시', '사랑', '나의', '즐겁', '가족', '이리', '이리']"
161,봄날,정종준,살롱 세미뮤지컬 봄날,"그 선을 넘는 순간 네가 보게 될
그 어떤 것도 가질 수 없는 세상들
너를 발 밑으로 끌고 내려가
너를 감싸주던 사랑스런 눈빛도
네 손끝으로 감싸주던 세상도
다시 느낄 수도 없는 그곳이
바로 이곳에 바로 네 앞에
네가 바래왔던 그 모든 순간들
네가 찾아 왔던 그 많은 시간들
네가 가질수 없는걸 원하는
오만한 세상이 바로 여기야
바로 이 곳에 바로 네 앞에
비겁한 패배자 비겁한 패배자
비겁한 패배자 비겁한 패배자
비겁한 패배자 비겁한 패배자
비겁한 패배자 비겁한 패배자
진리를 찾아서 내안의 나를 봐
지금의 나를봐 돌아보지마
진리를 찾아서 내안의 나를 봐
지금의 나를봐 돌아보지마
바로 여기아 바로 네 앞에
네가 바래왔던 그 모든 순간들
네가 찾아 왔던 그 많은 시간들
네가 가질수 없는걸 원하는
오만한 세상이 바로 여기야
바로 이 곳에 바로 네 앞에
바로 여기야 바로 네 앞에","['순간', '가지', '세상', '내려가', '너를', '사랑', '스럽', '눈빛', '손끝', '세상', '다시', '느끼', '그곳', '래왔', '모든', '순간', '가지', '원하', '오만', '세상', '비겁', '패배자', '비겁', '패배자', '비겁', '패배자', '비겁', '패배자', '비겁', '패배자', '비겁', '패배자', '비겁', '패배자', '비겁', '패배자', '진리', '아서', '안의', '지금', '돌아보', '진리', '아서', '안의', '지금', '돌아보', '래왔', '모든', '순간', '가지', '원하', '오만', '세상']"
